cc;amount;year;month;product
FI;364;2015;10;crude
FR;597;2015;10;crude
IE;504;2015;10;crude
IT;0;2015;10;crude
MQ;236;2015;10;crude
NL;3804;2015;10;crude
PL;252;2015;10;crude
PT;0;2015;10;crude
ES;245;2015;10;crude
GB;8604;2015;10;crude
SE;1741;2015;10;crude
DE;1397;2015;10;crude
US;0;2015;10;crude
BE;296;2015;11;crude
CA;420;2015;11;crude
DK;306;2015;11;crude
FI;0;2015;11;crude
FR;30;2015;11;crude
IE;738;2015;11;crude
IT;229;2015;11;crude
MQ;220;2015;11;crude
NL;2625;2015;11;crude
PL;0;2015;11;crude
PT;0;2015;11;crude
ES;0;2015;11;crude
GB;7112;2015;11;crude
SE;971;2015;11;crude
DE;917;2015;11;crude
US;0;2015;11;crude
BE;0;2015;12;crude
CA;280;2015;12;crude
DK;707;2015;12;crude
FI;522;2015;12;crude
FR;495;2015;12;crude
IE;410;2015;12;crude
IT;0;2015;12;crude
MQ;197;2015;12;crude
NL;3748;2015;12;crude
PL;0;2015;12;crude
PT;0;2015;12;crude
ES;0;2015;12;crude
GB;4261;2015;12;crude
SE;611;2015;12;crude
DE;680;2015;12;crude
US;0;2015;12;crude
BS;158;2016;01;crude
BE;203;2016;01;crude
CA;0;2016;01;crude
DK;522;2016;01;crude
FI;162;2016;01;crude
FR;497;2016;01;crude
IE;195;2016;01;crude
IT;0;2016;01;crude
MQ;150;2016;01;crude
NL;3628;2016;01;crude
PL;0;2016;01;crude
PT;0;2016;01;crude
ES;253;2016;01;crude
GB;4363;2016;01;crude
SE;879;2016;01;crude
ZA;0;2016;01;crude
DE;938;2016;01;crude
US;187;2016;01;crude
BS;0;2016;02;crude
BE;171;2016;02;crude
CA;540;2016;02;crude
DK;216;2016;02;crude
FI;442;2016;02;crude
FR;719;2016;02;crude
IE;578;2016;02;crude
IT;0;2016;02;crude
MQ;166;2016;02;crude
NL;3052;2016;02;crude
PL;0;2016;02;crude
PT;0;2016;02;crude
ES;260;2016;02;crude
GB;4818;2016;02;crude
SE;242;2016;02;crude
ZA;0;2016;02;crude
DE;735;2016;02;crude
US;303;2016;02;crude
BS;0;2016;03;crude
BE;0;2016;03;crude
CA;207;2016;03;crude
DK;272;2016;03;crude
FI;0;2016;03;crude
FR;479;2016;03;crude
IE;213;2016;03;crude
